author_login,author_name,n_commit,n_repo
brooklynbagel,Michael Beigelmacher,1,1
ccamara,Carlos Cámara,1,1
cmcaine,Colin Caine,1,1
coatless,James Balamuta,1,1
csim063,csim063,1,1
cstepper,Christoph Stepper,1,1
danielskatz,Daniel S. Katz,1,1
davedgd,David Dobolyi,1,1
deanmarchiori,deanmarchiori,1,1
denrou,Denis Roussel,1,1
docsteveharris,Steve Harris,1,1
eknud,Eric Knudsen,1,1
EmilHvitfeldt,Emil Hvitfeldt,1,1
eriksapper,eriksapper,1,1
esellers-usgs,Elizabeth Sellers,1,1
espinielli,Enrico Spinielli,1,1
etienne-s,etienne-s,1,1
filipefilardi,Filipe Filardi,1,1
gjgetzinger,gjgetzinger,1,1
gogonzo,go_gonzo,1,1
gordongetzinger,Gordon Getzinger,1,1
gothub,gothub,1,1
helenmiller,Helen Miller,1,1
infotroph,Chris Black,1,1
jebyrnes,Jarrett Byrnes,1,1
jeffeaton,jeffeaton,1,1
JimShady,JimShady,1,1
JimUttley,JimUttley,1,1
jmboehm,Johannes Boehm,1,1
jmobrien,jmobrien,1,1
johnwaller,John Waller,1,1
jpiaskowski,jpiaskowski,1,1
jrnold,jrnold,1,1
kant,Darío Hereñú,1,1
karawoo,karawoo,1,1
koheiw,Kohei Watanabe,1,1
krlmlr,Kirill Müller,1,1
kylevoyto,Kyle Voytovich,1,1
laurenwalker,Lauren Walker,1,1
llrs,Lluís,1,1
lmullen,Lincoln Mullen,1,1
lstmemery,Matthew Emery,1,1
mairindeith,Mairin Deith,1,1
michaelbabyn,michaelbabyn,1,1
MiguelRodo,Miguel Rodo,1,1
milessmith,Miles Smith,1,1
mkcor,Marianne Corvellec,1,1
mrustl,Michael Rustler,1,1
nevrome,Clemens Schmid,1,1
nicholsn,Nolan Nichols,1,1
nickreich,Nicholas G Reich,1,1
nickto,Nick To,1,1
orenov,oleksii renov,1,1
oristaszewski,oristaszewski,1,1
pcarbo,Peter Carbonetto,1,1
phoebewong,Phoebe,1,1
poldham,Paul Oldham,1,1
richardjtelford,Richard J Telford,1,1
romainfrancois,Romain Francois,1,1
salim-b,Salim B,1,1
samuelkaminsky,samuelkaminsky,1,1
seaaan,Sean Hughes,1,1
seanolondon,seanolondon,1,1
setgree,Seth Ariel Green,1,1
simonthelwall,Simon Thelwall,1,1
starship9,Nishank Saini,1,1
tiernanmartin,Tiernan Martin,1,1
TrashBirdEcology,Jessica Burnett,1,1
undocumeantit,unDocUMeantIt,1,1
uribo,Shinya Uryu,1,1
Vaugoyeau,Marie Vaugoyeau,1,1
xvrdm,Xavier A,1,1
yufree,Miao YU,1,1
Z3tt,Cedric_IZW,1,1
